lugar,periodo_bisemanal,predicted_contratos_novos,lower_bound,upper_bound
Mottu São Miguel,2026-W07,29.73598901098896,0.0,166.17336611571884
Mottu São Miguel,2026-W08,27.486652930402897,0.0,163.92403003513277
Mottu São Miguel,2026-W09,25.237316849816807,0.0,161.67469395454668
Mottu São Miguel,2026-W10,22.987980769230717,0.0,159.4253578739606
Mottu São Miguel,2026-W11,20.738644688644655,0.0,157.17602179337453
Mottu São Miguel,2026-W12,18.489308608058565,0.0,154.92668571278844
Mottu São Miguel,2026-W13,16.239972527472474,0.0,152.67734963220235
Mottu São Miguel,2026-W14,13.990636446886413,0.0,150.4280135516163
Mottu Fortaleza,2026-W07,136.19718406593407,0.0,278.03048163635697
Mottu Fortaleza,2026-W08,136.41991758241758,0.0,278.25321515284054
Mottu Fortaleza,2026-W09,136.6426510989011,0.0,278.475948669324
Mottu Fortaleza,2026-W10,136.8653846153846,0.0,278.69868218580757
Mottu Fortaleza,2026-W11,137.08811813186813,0.0,278.92141570229103
Mottu Fortaleza,2026-W12,137.31085164835164,0.0,279.1441492187746
Mottu Fortaleza,2026-W13,137.53358516483516,0.0,279.36688273525806
Mottu Fortaleza,2026-W14,137.75631868131867,0.0,279.58961625174163
Mottu Belém,2026-W07,96.17499999999998,8.95518979559094,183.39481020440903
Mottu Belém,2026-W08,95.72083333333333,8.501023128924288,182.94064353774237
Mottu Belém,2026-W09,95.26666666666665,8.046856462257608,182.4864768710757
Mottu Belém,2026-W10,94.8125,7.592689795590957,182.03231020440904
Mottu Belém,2026-W11,94.35833333333332,7.138523128924277,181.57814353774236
Mottu Belém,2026-W12,93.90416666666667,6.684356462257625,181.1239768710757
Mottu Belém,2026-W13,93.44999999999999,6.230189795590945,180.66981020440903
Mottu Belém,2026-W14,92.99583333333332,5.77602312892428,180.21564353774238
Mottu São Luís,2026-W07,116.41620879120879,6.160119708744162,226.67229787367341
Mottu São Luís,2026-W08,116.43692765567765,6.180838573213023,226.69301673814226
Mottu São Luís,2026-W09,116.45764652014651,6.201557437681885,226.71373560261114
Mottu São Luís,2026-W10,116.47836538461537,6.222276302150746,226.73445446708
Mottu São Luís,2026-W11,116.49908424908423,6.2429951666196075,226.75517333154886
Mottu São Luís,2026-W12,116.51980311355311,6.263714031088483,226.77589219601774
Mottu São Luís,2026-W13,116.54052197802197,6.2844328955573445,226.7966110604866
Mottu São Luís,2026-W14,116.56124084249083,6.305151760026206,226.81732992495546
Mottu Butantã,2026-W03,49.12806283616496,0.0,120.85758355899301
Mottu Butantã,2026-W04,46.807863058140526,0.0,118.53738378096858
Mottu Butantã,2026-W05,44.487663280116124,0.0,116.21718400294418
Mottu Butantã,2026-W06,42.16746350209172,0.0,113.89698422491978
Mottu Butantã,2026-W07,39.84726372406729,0.0,111.57678444689535
Mottu Butantã,2026-W08,37.52706394604286,0.0,109.25658466887091
Mottu Butantã,2026-W09,35.206864168018456,0.0,106.93638489084651
Mottu Butantã,2026-W10,32.88666438999405,0.0,104.61618511282211
