periodo_bisemanal,lugar,lugarId,longitude_lugar,latitude_lugar,contratos_novos,tipo_moto
2025-11-W23,Mottu São João de Meriti,314,-43.362295,-22.7817948,49,Nova
2025-11-W23,Mottu Messejana,402,-38.4827516,-3.8372596,28,Nova
2025-11-W23,Mottu Duque de Caxias,469,-43.3044152,-22.7915257,7,Usada
2025-11-W23,Mottu Cariacica,489,-40.3977994,-20.34272,15,Usada
2025-05-W10,Mottu Palhoça,296,-48.6580545,-27.6348873,5,Nova
2025-08-W16,Mottu Livramento de Nossa Senhora,345,-41.8419522,-13.652887,1,Nova
2025-09-W20,Mottu Gravataí,446,-50.9888634,-29.9476818,3,Nova
2025-09-W20,Mottu Mérida,249,-89.65309320000001,20.9862862,13,Nova
2025-07-W14,Mottu Camaçari,173,-38.3265349,-12.7028234,56,Nova
2025-08-W16,Mottu Parnaíba,115,-41.7433568,-2.9196028,19,Nova
2025-12-W26,Mottu Campos dos Goytacazes,285,-41.308633,-21.77516,2,Usada
2025-09-W19,Mottu Mérida,249,-89.65309320000001,20.9862862,20,Nova
2025-07-W15,Mottu Macaé,266,-41.7760882,-22.3816512,27,Nova
2025-07-W14,Mottu Itatiba,279,-46.843805,-23.0038219,3,Nova
2025-07-W14,Mottu Camaragibe,324,-34.9686939,-8.0196345,7,Nova
2026-01-W02,Mottu Pelotas,203,-52.3373271,-31.7742644,3,Semi-nova
2026-01-W02,Mottu Camboriú,289,-48.6528917,-27.0152109,11,Nova
2025-07-W15,Mottu Andradina,237,-51.3687814,-20.9013619,2,Nova
2025-07-W15,Mottu Cianorte,229,-52.6292505,-23.669992,2,Nova
2025-07-W15,Mottu Pindamonhangaba,311,-45.4534763,-22.9309286,4,Usada
2025-06-W12,Mottu Pindamonhangaba,311,-45.4534763,-22.9309286,38,Nova
2025-06-W12,Mottu Itajaí,111,-48.6820452,-26.9133451,50,Nova
2025-02-W03,Mottu CDMX Cien Metros,85,-99.1507383881324,19.505780122172116,20,Nova
2025-02-W03,Mottu Juiz de Fora,95,-43.3359161,-21.7691398,5,Usada
2025-10-W22,Mottu Crato,295,-39.39295449999999,-7.225556,4,Usada
2026-03-W05,Mottu Jequié,271,-40.0720649,-13.8539274,13,Nova
2026-03-W05,Mottu Toledo,463,-53.7600405,-24.7337473,3,Nova
2026-03-W05,Mottu São João de Meriti,314,-43.362295,-22.7817948,38,Nova
2026-03-W05,Mottu Queimados,563,-43.55701982975006,-22.71967520059187,13,Nova
2026-03-W05,Mottu Castanhal,365,-47.9371906,-1.2934534,4,Semi-nova
2026-03-W05,Mottu Santa Maria,455,-53.8158063,-29.7005973,3,Semi-nova
2026-03-W05,Mottu Parnamirim,118,-35.26214050000001,-5.9073262,34,Nova
2025-06-W13,Mottu Americana - Bicudo Motos,97,-47.3452417,-22.7449354,2,Nova
2025-06-W13,Mottu Jacarepaguá,248,-43.38651489999999,-22.9596678,24,Nova
2025-06-W13,Mottu Camaçari,173,-38.3265349,-12.7028234,36,Nova
2025-05-W11,Mottu Bragança Paulista,281,-46.546081,-22.9539627,2,Nova
